first;0x1F947
first-class;0x1F44D
fish;0x1F365
fist;0x1F44A
fit;0x1F646
fitness;0x1F4AA
five;0x1F554
fix;0x1F510
flag;0x1F6A9
flame;0x1F525
flaming;0x1F525
flap;0x1F44B
flaring;0x1F525
flash;0x1F609
flatbread;0x1F959
flee;0x1F4A8
fleshly;0x1F412
flex;0x1F4AA
flicker;0x1F343
flipper;0x1F42C
flit;0x1F343
flitter;0x1F343
floor;0x1F923
floppy;0x1F4BE
flourish;0x1F4A5
flower;0x1F33C
flush;0x1F60A
flushed;0x1F633
flutter;0x1F343
fly;0x2708
fog;0x1F637
folded;0x1F64F
food;0x1F355
fool;0x1F37A
foolish;0x1F437
footfall;0x1F43E
footprint;0x1F463
footstep;0x1F43E
forbidden;0x1F6AB
force;0x1F4AA
forefather;0x1F385
foreign;0x1F47E
foreigner;0x1F47E
forenoon;0x2600
fork;0x1F374
former;0x1F475
forsake;0x1F3DD
fortune;0x1F52F
forward;0x23E9
foul;0x1F616
founder;0x1F385
fountain;0x1F58B
four;0x1F340
fox;0x1F98A
fracture;0x1F494
fragrance;0x1F490
frail;0x1F44E
frame;0x1F5BC
frames;0x1F39E
frankfurter;0x1F32D
frantic;0x1F621
free;0x1F5FD
free of charge;0x1F21A
french;0x1F35F
fried;0x1F364
friendly;0x1F642
friends;0x1F46D
fries;0x1F35F
frightened;0x1F631
frightful;0x1F631
frigid;0x2744
frock;0x1F457
frog;0x1F438
frown;0x1F641
frowning;0x1F64D
fruit;0x1F34E
frying;0x1F373
fuel;0x26FD
fuelpump;0x26FD
fuji;0x1F5FB
full;0x1F31D
full mark;0x1F4AF
fullscore;0x1F4AF
funeral;0x26B1
fungus;0x1F344
funny;0x1F602
fury;0x1F621
gag;0x1F61C
gain;0x270C
galling;0x1F616
gamble;0x1F3B2
game;0x1F3AE
gap;0x1F494
garden;0x1F3E1
gardener;0x1F469
gas;0x26FD
gaze;0x1F441
geek;0x1F913
gem;0x1F48E
Gemini;0x1F46C
gender-neutral;0x1F9D1
gentle;0x1F366
gents;0x1F6B9
geometric;0x1F539
geometry;0x2B50
gesticulate;0x1F596
gesture;0x1F596
gesundheit;0x1F927
ghost;0x1F47B
gibbous;0x1F314
giddy;0x1F635
gift;0x1F381
girl;0x1F467
girls;0x1F46F
gist;0x2764
give;0x1F381
glad;0x1F60A
glass;0x1F377
glasses;0x1F576
gleam;0x1F496
glint;0x2728
glisten;0x1F496
glistening;0x2728
glitter;0x1F496
glittery;0x1F31F
gloaming;0x1F307
globe;0x1F30D
gloomy;0x1F44E
gloss;0x1F485
glove;0x1F94A
glow;0x1F31F
glum;0x1F576
go to bed;0x1F62A
goal;0x1F945
goat;0x1F410
goblet;0x1F377
gold;0x1F3C5
golf;0x26F3
gondola;0x1F6A0
grade;0x1F4AF
graduate;0x1F469
graduation;0x1F393
grain;0x1F33E
grains;0x1F33D
grandmother;0x1F475
grape;0x1F347
graph;0x1F4C9
gratuitous;0x1F5FD
grave;0x1F627
great;0x1F44D
green;0x1F49A
grievous;0x1F627
grimace;0x1F62C
grin;0x1F601
grinning;0x1F929
groom;0x1F935
grow;0x270B
growing;0x1F497
growth;0x1F4C8
gua pi mao;0x1F472
guarantee;0x1F510
guard;0x1F482
guardianship;0x1F485
guidance;0x1F448
guiltless;0x1F607
guitar;0x1F3B8
gull;0x1F37A
gun;0x1F52B
gunpower;0x1F4A3
gurgle;0x1F4AD
gymnastics;0x1F938
gy¨­za;0x1F95F
gyro;0x1F959
habitation;0x1F3E0
haha;0x1F604
haircut;0x1F487
halloween;0x1F383
halo;0x1F607
halt;0x25B6
hamburger;0x1F354
hammer;0x2692
hamster;0x1F439
hand;0x1F590
handball;0x1F93E
handgun;0x1F52B
handwriting;0x270D
happy;0x1F60A
hare;0x1F407
hashi;0x1F962
hat;0x1F393
hatching;0x1F423
haughty;0x1F644
haze;0x1F637
head;0x1F5E3
headscarf;0x1F9D5
headset;0x1F3A7
healthcare;0x1F468
hear;0x1F649
heart;0x2764
heartbeat;0x1F493
heart-broken;0x1F494
hearten;0x1F64C
heel;0x1F460
helmet;0x26D1
help;0x1F481
here;0x1F201
hidden;0x3299
highway;0x1F6E3
hijab;0x1F9D5
hike;0x1F6B6
Hindu;0x1F549
hint;0x1F5DD
hit;0x1F44A
hive men five;0x270B
hocho;0x1F52A
hockey;0x1F3D1
hog;0x1F437
hold;0x1F46B
hole;0x26F3
holler;0x1F62D
home;0x1F3E0
honey;0x1F36F
honeydew;0x1F348
honeypot;0x1F36F
hoop;0x1F3C0
hooray;0x1F64C
horn;0x1F403
horns;0x1F608
horrendous;0x1F631
horrible;0x1F631
horse;0x1F434
hot;0x2668
hotcake;0x1F95E
hotdog;0x1F32D
hotel;0x1F3E9
hotsprings;0x2668
hourglass;0x23F3
house;0x1F3E0
household;0x1F3F0
howl;0x1F62D
hug;0x1F917
hugging;0x1F917
human;0x1F471
humankind;0x1F471
hump;0x1F42B
hundred;0x1F4AF
hurt;0x1F915
hushed;0x1F62F
i;0x2139
ice;0x1F368
icecream;0x1F366
id;0x1F194
idea;0x1F4A1
identity;0x1F194
ideograph;0x3299
ignite;0x1F4A1
ignorance;0x1F937
ill;0x1F912
illuminate;0x1F4A1
illumine;0x1F4A1
ILY;0x1F91F
image;0x1F4F7
immature;0x1F49A
imp;0x1F47F
implore;0x1F64F
inbox;0x1F4E5
incoming;0x1F4E8
incorrect;0x2716
index;0x1F5C2
indifference;0x1F937
industrial;0x1F468
inexpressive;0x1F611
infant;0x1F47C
infelicitous;0x1F641
information;0x1F481
ingenuous;0x1F607
ingress;0x1F6AB
injection;0x1F489
injury;0x1F915
ink;0x1F50F
innocent;0x1F607
input;0x1F523
inquire;0x1F64F
inquiry;0x2049
insane;0x1F621
insect;0x1F41E
inside;0x1F4A0
instructor;0x1F469
instrument;0x1F3BB
insure;0x1F510
intelligent;0x1F9E0
intercardinal;0x2198
intermission;0x1F494
internal;0x1F3E0
interrobang;0x2049
interruption;0x1F494
inventor;0x1F468
invert;0x25C0
invoice;0x1F4B4
iphone;0x1F4F2
ironic;0x1F63C
irratated;0x1F621
irritated;0x1F620
irritating;0x1F616
islam;0x1F54B
island;0x1F3DD
jack;0x1F383
jacket;0x1F9E5
Japan;0x1F5FB
Japanese;0x1F38E
jape;0x1F61C
jauntiness;0x1F60F
jest;0x1F61C
Jew;0x1F54D
jewel;0x1F48E
Jewish;0x1F54D
jiaozi;0x1F95F
jockey;0x1F3C7
joke;0x1F61C
joy;0x1F602
joyful;0x1F60A
joyfulness;0x1F602
judge;0x1F469
judo;0x1F94B
jug;0x1F3FA
juggle;0x1F939
juggling;0x1F939
juice;0x1F964
jump;0x1F574
justice;0x264E
karaoke;0x1F3A4
karate;0x1F94B
katakana;0x1F202
kebab;0x1F362
keep;0x1F46B
kernel;0x2764
key;0x1F510
keyboard;0x1F3B9
keycap;0x23
kick;0x1F6F4
kid;0x1F466
kill;0x1F52A
kin;0x1F3F0
king;0x1F451
kiss;0x1F48F
kiwi;0x1F95D
knife;0x1F52A
knobs;0x1F39B
koala;0x1F428
kursaal;0x1F3A2
label;0x2757
labyrinth;0x1F33D
lady;0x1F469
ladybird;0x1F41E
ladybug;0x1F41E
lambchop;0x1F969
lamentable;0x1F62D
lamp;0x1F4A1
landing;0x1F6EC
landscape;0x1F306
lantern;0x1F3EE
large;0x1F44D
latin;0x1F520
laugh;0x1F606
laughable;0x1F602
lavatory;0x1F6BD
lavish;0x1F6BF
leaf;0x1F342
leap;0x1F574
left;0x1F448
leftwards;0x1F91B
leg;0x1F357
Leo;0x1F981
leopard;0x1F406
letter;0x1F48C
letters;0x1F524
level;0x1F39A
liberal;0x1F5FD
liberate;0x1F5FD
liberty;0x1F5FD
Libra;0x2696
lie;0x1F925
lift;0x270B
lifter;0x1F3CB
light;0x1F4A1
light skin tone;0x1F466
lightning;0x26A1
like;0x1F496
link;0x1F587
lion;0x1F981
lips;0x1F48B
lipstick;0x1F484
liquor;0x1F943
litter;0x1F6AE
litter bin;0x1F6AE
loaf;0x1F35E
loathsome;0x1F616
lock;0x1F512
locker;0x1F6C5
loiter;0x1F35E
lollipop;0x1F36D
lolly;0x1F36D
lollypop;0x1F36D
look;0x1F440
lordly;0x1F644
lorry;0x1F69B
loud;0x1F50A
love;0x1F498
lovers;0x1F48F
low;0x1F44E
lowercase;0x1F521
lowered;0x1F4EA
low-pitched;0x1F44E
luck;0x1F91E
luggage;0x1F6C5
lustrous;0x1F31D
m;0x24C2
mad;0x1F621
magnifying;0x1F50D
mahjong;0x1F004
mail;0x1F48C
mailbox;0x1F4EE
maintain;0x1F46B
maize;0x1F33D
makeup;0x1F484
male;0x1F40F
man;0x1F471
manager;0x1F468
manicure;0x1F485
mankind;0x1F471
mantilla;0x1F9D5
map;0x1F5FA
maple;0x1F341
marathon;0x1F3C3
mark;0x2757
marker;0x1F4D1
market;0x1F4B9
marriage;0x1F389
martial arts;0x1F94B
mask;0x1F3AD
massage;0x1F486
match;0x1F646
math;0x2797
mathematician;0x1F468
maze;0x1F33D
meander;0x1F343
measure;0x1F43E
meat;0x1F354
mechanic;0x1F468
medal;0x1F3C5
medicament;0x1F489
medication;0x1F489
medicine;0x1F489
meditate;0x1F914
meditation;0x1F9D8
meditative;0x1F614
medium;0x1F509
